ID,Abundance,Type2
tbo,0.416666666667,acyl-CoA synth
ckn,0.230769230769,acyl-CoA synth
cfl,0.230769230769,acyl-CoA synth
gur,0.5,acyl-CoA synth
bce,0.666666666667,acyl-CoA synth
rce,0.5,acyl-CoA synth
dvu,0.5,acyl-CoA synth
vcm,0.416666666667,acyl-CoA synth
fjo,0.615384615385,acyl-CoA synth
cps,0.416666666667,acyl-CoA synth
cps,0.277777777778,acyl-CoA synth
rer,0.5,acyl-CoA synth
blf,0.5,acyl-CoA synth
las,0.5,acyl-CoA synth
pae,0.5,acyl-CoA synth
bts,0.5,acyl-CoA synth
ral,0.0555555555556,acyl-CoA synth
acm,0.666666666667,acyl-CoA synth
bmi,0.666666666667,acyl-CoA synth
bpe,0.5,acyl-CoA synth
cja,0.5,acyl-CoA synth
ckp,0.0833333333333,acyl-CoA synth
soz,0.666666666667,acyl-CoA synth
pmr,0.615384615385,acyl-CoA synth
cti,0.5,acyl-CoA synth
vvu,0.277777777778,acyl-CoA synth
ecx,0.277777777778,acyl-CoA synth
ecx,0.5,acyl-CoA synth
bbp,0.0769230769231,acyl-CoA synth
seg,0.333333333333,acyl-CoA synth
ppe,0.538461538462,acyl-CoA synth
spg,0.0555555555556,acyl-CoA synth
rpr,0.333333333333,acyl-CoA synth
cgl,0.5,acyl-CoA synth
gbm,0.166666666667,acyl-CoA synth
avn,0.666666666667,acyl-CoA synth
kpu,0.615384615385,acyl-CoA synth
bmc,0.666666666667,acyl-CoA synth
lpa,0.5,acyl-CoA synth
bfr,0.5,acyl-CoA synth
tde,0.5,acyl-CoA synth
ccr,0.615384615385,acyl-CoA synth
dar,0.5,acyl-CoA synth
sss,0.416666666667,acyl-CoA synth
sss,0.0555555555556,acyl-CoA synth
vex,0.5,acyl-CoA synth
cpu,0.230769230769,acyl-CoA synth
bcx,0.5,acyl-CoA synth
bbr,0.666666666667,acyl-CoA synth
cts,0.5,acyl-CoA synth
bur,0.333333333333,acyl-CoA synth
ebr,0.222222222222,acyl-CoA synth
ebr,0.5,acyl-CoA synth
mra,0.307692307692,acyl-CoA synth
gbe,0.583333333333,acyl-CoA synth
sae,0.416666666667,acyl-CoA synth
cli,0.538461538462,acyl-CoA synth
clj,0.538461538462,acyl-CoA synth
rba,0.111111111111,acyl-CoA synth
pap,0.666666666667,acyl-CoA synth
cpn,0.416666666667,acyl-CoA synth
pla,0.583333333333,acyl-CoA synth
shm,0.666666666667,acyl-CoA synth
bge,0.5,acyl-CoA synth
lbj,0.5,acyl-CoA synth
eha,0.538461538462,acyl-CoA synth
bte,0.416666666667,acyl-CoA synth
brh,0.538461538462,acyl-CoA synth
dra,0.222222222222,acyl-CoA synth
vfi,0.5,acyl-CoA synth
rdn,0.25,acyl-CoA synth
